|,|__city,|__theater,|__zip,|__critic_rating,|__genre,|__state,|__starttime,|__date,|__moviename,|__other,|__mpaa_rating,|__numberofkids,|__theater_chain,|__video_format,|__distanceconstraints,|__actor,|__price,|__actress
534L,seattle,regal meridian 16,98101,,comedy,wa,7pm,tomorrow,risen race spotlight,large number of movies,,,amc loews oak tree 6,,,,,
535L,seattle,AMC LOEWS OAK TREE 6 10006 aurora,98101,,comedy,wa,7pm,tomorrow,risen race spotlight,large number of movies,,,amc loews oak tree 6,,,,,
536L,seattle,regal meridian 16,98133,,comedy,wa,7pm,tomorrow,risen race spotlight,large number of movies,,,amc loews oak tree 6,,,,,
537L,seattle,AMC LOEWS OAK TREE 6 10006 aurora,98133,,comedy,wa,7pm,tomorrow,risen race spotlight,large number of movies,,,amc loews oak tree 6,,,,,
538L,seattle,regal meridian 16,98101,,drama,wa,7pm,tomorrow,risen race spotlight,large number of movies,,,amc loews oak tree 6,,,,,
539L,birmingham,carmike summit 16,,,,al,around 2pm,today,london had fallen,,,,,,,,,
540L,birmingham,carmike summit 16,,,,al,1:35 PM,today,london had fallen,,,,,,,,,
541L,seattle,regal meridian 16,98101,top,,wa,night around 8pm,tomorrow,zootopia,rotten tomatoes,,,,,,,,
542L,bellevue,regal meridian 16,98101,top,,wa,night around 8pm,tomorrow,zootopia,rotten tomatoes,,,,,,,,
543L,seattle,bellevue lincoln square cinemas,98101,top,,wa,night around 8pm,tomorrow,zootopia,rotten tomatoes,,,,,,,,
544L,bellevue,bellevue lincoln square cinemas,98101,top,,wa,night around 8pm,tomorrow,zootopia,rotten tomatoes,,,,,,,,
545L,seattle,regal meridian 16,98004,top,,wa,night around 8pm,tomorrow,zootopia,rotten tomatoes,,,,,,,,
546L,seattle,amc lowes oak tree 6,,,,,4:50 PM,tomorrow,room,,,,,,,,,
547L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,zootopia,,,,,,near my location,,,
548L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,zootopia,,,,,,safeco field,,,
549L,seattle,regal meridian 16,,number 1,comedies,washington,,tonight,zootopia,,,,,,near my location,,,
550L,seattle,regal meridian 16,,number 1,comedies,washington,,tonight,zootopia,,,,,,safeco field,,,
551L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,Whiskey Tango Foxtrot,,,,,,near my location,,,
552L,philadelphia,The Pearl Theatre,19101,,,pa,1:30pm,tomorrow,deadpool,,,,,,near,,,
553L,philadelphia,The Pearl Theatre,19121,,,pa,1:30pm,tomorrow,deadpool,,,,,,near,,,
554L,philadelphia,The Pearl Theatre,19101,,,pa,4:30,tomorrow,deadpool,,,,,,near,,,
555L,philadelphia,The Pearl Theatre,19121,,,pa,4:30,tomorrow,deadpool,,,,,,near,,,
556L,philadelphia,The Pearl Theatre,19101,,,pa,7:30pm,tomorrow,deadpool,,,,,,near,,,
557L,princeton,amc marketfair 10,,,dramas,nj,7pm,tomorrow,eddie the eagle,,,,,,,,,
558L,princeton,amc marketfair 10,,,dramas,nj,6:45pm,tomorrow,eddie the eagle,,,,,,,,,
559L,princeton,amc marketfair 10,,,dramas,nj,7pm,tomorrow,race and risen,,,,,,,,,
560L,princeton,amc marketfair 10,,,dramas,nj,6:45pm,tomorrow,race and risen,,,,,,,,,
561L,birmingham,carmike summit 16,,,,al,around 5pm,tomorrow,deadpool,,,,,,,,,
562L,birmingham,carmike summit 16,,,,al,4:20pm,tomorrow,deadpool,,,,,,,,,
563L,birmingham,carmike summit 16,,,,al,7:20pm,tomorrow,deadpool,,,,,,,,,
564L,carbondale,amc showplace carbondale 8,62901,good,action,illinois,afternoon,tomorrow,london has fallen,,,,,,,,,
565L,carbondale,amc university place,62901,good,action,illinois,afternoon,tomorrow,london has fallen,,,,,,,,,
566L,carbondale,amc showplace carbondale 8,62901,good,action,il,afternoon,tomorrow,london has fallen,,,,,,,,,
567L,carbondale,amc university place,62901,good,action,il,afternoon,tomorrow,london has fallen,,,,,,,,,
568L,carbondale,amc showplace carbondale 8,62901,good,action,illinois,2:30pm,tomorrow,london has fallen,,,,,,,,,
569L,birmingham,carmike summit 16,35243,popular,action,al,10:00am,last weekend,zootopia,search theaters,pg,,,,,,,
570L,hoover,carmike summit 16,35243,popular,action,al,10:00am,last weekend,zootopia,search theaters,pg,,,,,,,
571L,birmingham,carmike patton creek,35243,popular,action,al,10:00am,last weekend,zootopia,search theaters,pg,,,,,,,
572L,hoover,carmike patton creek,35243,popular,action,al,10:00am,last weekend,zootopia,search theaters,pg,,,,,,,
573L,birmingham,carmike summit 16,35244,popular,action,al,10:00am,last weekend,zootopia,search theaters,pg,,,,,,,
574L,birmingham,carmike summit 16,,good,action,alabama,2:00 PM,this saturday,london has fallen,,,,,,,,,
575L,birmingham,carmike summit 16,,good,action,alabama,1:35pm,this saturday,london has fallen,,,,,,,,,
576L,birmingham,carmike summit 16,,good,action,alabama,2:00 PM,this saturday,gods of egypt,,,,,,,,,
577L,birmingham,carmike summit 16,,good,action,alabama,1:35pm,this saturday,gods of egypt,,,,,,,,,
578L,birmingham,carmike summit 16,,good,action,alabama,2:00 PM,this saturday,deadpool,,,,,,,,,
579L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,The big short,,,,,,,,,
580L,seattle,regal meridian 16,98126,,,wa,2:00pm,today,zoolander 2,cheapest,,,,,closest,,,
581L,seattle,regal meridian 16,98101,,,wa,2:00pm,today,zoolander 2,cheapest,,,,,closest,,,
582L,seattle,regal meridian 16,98126,,,wa,2:00pm,today,zoolander 2,do not know,,,,,closest,,,
583L,seattle,regal meridian 16,98101,,,wa,2:00pm,today,zoolander 2,do not know,,,,,closest,,,
584L,seattle,regal meridian 16,98126,,,wa,4:30pm,today,zoolander 2,cheapest,,,,,closest,,,
585L,,amc pacific place,98119,,,,around 8pm,friday,deadpool,,,,amc pacific place 11,,,,,
586L,,amc pacific place,98119,,,,8:10PM,friday,deadpool,,,,amc pacific place 11,,,,,
587L,buford,mall of georgia movie theater,,,comedy,georgia,10:40pm,friday,zootopia,date night,r,,,,,,,tina fey
588L,buford,mall of georgia movie theater,,,animated,georgia,10:40pm,friday,zootopia,date night,r,,,,,,,tina fey
589L,buford,mall of georgia movie theater,,,comedy,georgia,10:40pm,friday,zootopia,disney,r,,,,,,,tina fey
590L,buford,mall of georgia movie theater,,,animated,georgia,10:40pm,friday,zootopia,disney,r,,,,,,,tina fey
591L,buford,mall of georgia movie theater,,,comedy,georgia,10:40pm,friday,Whiskey Tango Foxtrot,date night,r,,,,,,,tina fey
592L,seattle,regal meridian 16,,,,,evening around 6pm,tomorrow,zootopia,,,,,,north side,,,
593L,seattle,regal thornton place,,,,,evening around 6pm,tomorrow,zootopia,,,,,,north side,,,
594L,seattle,regal meridian 16,,,,,5:20,tomorrow,zootopia,,,,,,north side,,,
595L,seattle,regal thornton place,,,,,5:20,tomorrow,zootopia,,,,,,north side,,,
596L,seattle,regal meridian 16,,,,,6:30 PM,tomorrow,zootopia,,,,,,north side,,,
597L,Fresno,current,,,action,california,a lot,12-Mar,deadpool,,,,,,,,,
598L,Fresno,Visalia,,,action,california,a lot,12-Mar,deadpool,,,,,,,,,
599L,Fresno,regal visalia stadium 10,,,action,california,a lot,12-Mar,deadpool,,,,,,,,,
600L,Fresno,current,,,action,california,a lot,weekend,deadpool,,,,,,,,,
601L,Fresno,Visalia,,,action,california,a lot,weekend,deadpool,,,,,,,,,
602L,seattle,regal meridian 16,,,,,sonnest,,whiskey tango foxtrot,name,,,,,,,,
603L,seattle,regal meridian 16,,,,,9:00pm,,whiskey tango foxtrot,name,,,,,,,,
604L,las vegas,regal colonnade 14,,,,,matinee,tomorrow,zootopia,,,,,3d#standard,,,,
605L,las vegas,regal colonnade 14,,,,,matinee,tomorrow,zootopia,,,,,3d,,,,
606L,las vegas,regal colonnade 14,,,,,1:30pm,tomorrow,zootopia,,,,,3d#standard,,,,
607L,las vegas,regal colonnade 14,,,,,1:30pm,tomorrow,zootopia,,,,,3d,,,,
608L,las vegas,regal colonnade 14,,,,,1:30,tomorrow,zootopia,,,,,3d#standard,,,,
609L,seattle,regal meridian 16,,,,virginia,9:30 PM,march 15th,zoolander 2,Fandango,,,,,,,,
610L,waynesboro,regal meridian 16,,,,virginia,9:30 PM,march 15th,zoolander 2,Fandango,,,,,,,,
611L,norfolk,regal meridian 16,,,,virginia,9:30 PM,march 15th,zoolander 2,Fandango,,,,,,,,
612L,seattle,zeus,,,,virginia,9:30 PM,march 15th,zoolander 2,Fandango,,,,,,,,
613L,waynesboro,zeus,,,,virginia,9:30 PM,march 15th,zoolander 2,Fandango,,,,,,,,
614L,la,creed,,,,,7pm,tomorrow,creed,,,,,3d,downtown,,,
615L,la,pacific sherman oaks 5,,,,,7pm,tomorrow,creed,,,,,3d,downtown,,,
616L,la,amc la mirada 7,,,,,7pm,tomorrow,creed,,,,,3d,downtown,,,
617L,la,AMC La Mirada,,,,,7pm,tomorrow,creed,,,,,3d,downtown,,,
618L,la,amc,,,,,7pm,tomorrow,creed,,,,,3d,downtown,,,
619L,birmingham,carmike summit 16,35246,,,al,2pm,today,zootopia,,,,,,,,,
620L,birmingham,15,35246,,,al,2pm,today,zootopia,,,,,,,,,
621L,birmingham,carmike summit 16,35242,,,al,2pm,today,zootopia,,,,,,,,,
622L,birmingham,15,35242,,,al,2pm,today,zootopia,,,,,,,,,
623L,birmingham,carmike summit 16,35246,,,al,1:30,today,zootopia,,,,,,,,,
624L,seattle,regal meridian 16,,,,,9:00 PM,tomorrow,spotlight,name,,,,,,,,
625L,,buford georgia,,,comedy,,night,this friday,zootopia,,r,,,,,tina fey,,
626L,,Whiskey Tango Foxtrot,,,comedy,,night,this friday,zootopia,,r,,,,,tina fey,,
627L,,mall of georgia,,,comedy,,night,this friday,zootopia,,r,,,,,tina fey,,
628L,,buford georgia,,,animated,,night,this friday,zootopia,,r,,,,,tina fey,,
629L,,Whiskey Tango Foxtrot,,,animated,,night,this friday,zootopia,,r,,,,,tina fey,,
630L,,,,,,,,june 17 2016,avengers,,,,,,,,,
631L,,finding dory,,,,,,june 17 2016,avengers,,,,,,,,,
632L,,,,,,,,june 17 2016,finding dory,,,,,,,,,
633L,,finding dory,,,,,,june 17 2016,finding dory,,,,,,,,,
634L,seattle,regal meridian 16,,,,,9:00 PM,tomorrow,spotlight,,,,,,,,,
635L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,hail caesar,,,,,,,,,
636L,seattle,regal meridian 16,,,,,8:45,tomorrow,hail caesar,,,,,,,,,
637L,birmingham,carmike 16,,,,al,2pm,today,zootopia,,,,,,,,,
638L,birmingham,carmike the summit 16,,,,al,2pm,today,zootopia,,,,,,,,,
639L,birmingham,carmike 16,,,,al,1:30pm,today,zootopia,,,,,,,,,
640L,birmingham,carmike the summit 16,,,,al,1:30pm,today,zootopia,,,,,,,,,
641L,seattle,amc pacific place 11,98101,,,wa,6:10pm,tonight,deadpool,,,,,,,,,
642L,bellevue,amc pacific place 11,98101,,,wa,6:10pm,tonight,deadpool,,,,,,,,,
643L,seattle,bellevue lincoln square cinemas,98101,,,wa,6:10pm,tonight,deadpool,,,,,,,,,
644L,bellevue,bellevue lincoln square cinemas,98101,,,wa,6:10pm,tonight,deadpool,,,,,,,,,
645L,seattle,amc pacific place 11,98004,,,wa,6:10pm,tonight,deadpool,,,,,,,,,
646L,Clear Lake,lake theater,,,,IA,7:00 PM,tomorrow,deadpool,,,,,,,,,
647L,Clear Lake,Mason city IA cinema west,,,,IA,7:00 PM,tomorrow,deadpool,,,,,,,,,
648L,Clear Lake,cinema west,,,,IA,7:00 PM,tomorrow,deadpool,,,,,,,,,
649L,Clear Lake,lake theater,,,,IA,7pm,tomorrow,deadpool,,,,,,,,,
650L,Clear Lake,Mason city IA cinema west,,,,IA,7pm,tomorrow,deadpool,,,,,,,,,
651L,du quoin,,,,thriller science fiction,illinois,anytime after 6pm,Friday the 11th,star wars,,,,amc showplace carbondale 8,,vicinity,,,
652L,carbondale,,,,thriller science fiction,illinois,anytime after 6pm,Friday the 11th,star wars,,,,amc showplace carbondale 8,,vicinity,,,
653L,Du Quoin,,,,thriller science fiction,illinois,anytime after 6pm,Friday the 11th,star wars,,,,amc showplace carbondale 8,,vicinity,,,
654L,du quoin,,,,thriller science fiction,il,anytime after 6pm,Friday the 11th,star wars,,,,amc showplace carbondale 8,,vicinity,,,
655L,carbondale,,,,thriller science fiction,il,anytime after 6pm,Friday the 11th,star wars,,,,amc showplace carbondale 8,,vicinity,,,
656L,san francisco,carmike 12,,,,pennsylvania,around 6pm,wednesday,whiskey tango foxtrot,,,,,,,,,
657L,altoona,carmike 12,,,,pennsylvania,around 6pm,wednesday,whiskey tango foxtrot,,,,,,,,,
658L,san francisco,carmike 12,,,,pennsylvania,5pm,wednesday,whiskey tango foxtrot,,,,,,,,,
659L,altoona,carmike 12,,,,pennsylvania,5pm,wednesday,whiskey tango foxtrot,,,,,,,,,
660L,san francisco,carmike 12,,,,pennsylvania,7:40pm,wednesday,whiskey tango foxtrot,,,,,,,,,
661L,seattle,,,,,,7:00 PM,tomorrow,,restaurant,,,amc pacific place 11,,,,,
662L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,hail caesar,,,,,,,,,
663L,portland,Living Room Theaters Century Eastport 16,,,,oregon,between 8 and 10 pm,friday,star wars,,,,,,,,,
664L,portland,Century Clackamas Town Center,,,,oregon,between 8 and 10 pm,friday,star wars,,,,,,,,,
665L,portland,XD,,,,oregon,between 8 and 10 pm,friday,star wars,,,,,,,,,
666L,portland,Living Room Theaters,,,,oregon,between 8 and 10 pm,friday,star wars,,,,,,,,,
667L,portland,Living Room Theaters Century Eastport 16,,,,oregon,9:25pm,friday,star wars,,,,,,,,,
668L,seattle,regal meridian 16,98126,,,wa,2:00pm,today,zoolander 2,search by movie or movie theater,,,,,closest,,cheapest,
669L,seattle,regal meridian 16,98101,,,wa,2:00pm,today,zoolander 2,search by movie or movie theater,,,,,closest,,cheapest,
670L,seattle,regal meridian 16,98126,,,wa,4:30pm,today,zoolander 2,search by movie or movie theater,,,,,closest,,cheapest,
671L,seattle,regal meridian 16,98101,,,wa,4:30pm,today,zoolander 2,search by movie or movie theater,,,,,closest,,cheapest,
672L,seattle,regal meridian 16,98126,,,wa,7:00pm,today,zoolander 2,search by movie or movie theater,,,,,closest,,cheapest,
673L,los angeles,regal la live stadium 14,,,,,8:00 PM,tonight,deadpool,,,,amc,,around the city,,,
674L,los angeles,regal la live stadium 14,,,,,12:00pm,tonight,deadpool,,,,amc,,around the city,,,
675L,los angeles,regal la live stadium 14,,,,,1:00pm,tonight,deadpool,,,,amc,,around the city,,,
676L,los angeles,regal la live stadium 14,,,,,3:00pm,tonight,deadpool,,,,amc,,around the city,,,
677L,los angeles,regal la live stadium 14,,,,,6:00pm,tonight,deadpool,,,,amc,,around the city,,,
678L,,,,,,,,weekend,,,,,,,,,,
679L,orlando,amc west oaks 14,,,,fl,around 6 pm,tomorrow,kung fu panda 3,,,,,standard,far away from disney,,,
680L,orlando,amc west oaks 14,,,,fl,around 6 pm,tomorrow,kung fu panda 3,,,,,3d,far away from disney,,,
681L,orlando,amc west oaks 14,,,,fl,1:30pm,tomorrow,kung fu panda 3,,,,,standard,far away from disney,,,
682L,orlando,amc west oaks 14,,,,fl,1:30pm,tomorrow,kung fu panda 3,,,,,3d,far away from disney,,,
683L,orlando,amc west oaks 14,,,,fl,1:30 PM,tomorrow,kung fu panda 3,,,,,standard,far away from disney,,,
684L,regency academy 6 theater,regency academy,,,,,around noon,tomorrow,creed,,,,,,,,,
685L,regency academy 6 theater,regency academy,,,,,1:00pm,tomorrow,creed,,,,,,,,,
686L,seattle,regal meridian 16,,,,,9:20 PM,tomorrow,london has fallen,indian restaurant,,,,,,,,
687L,seattle,regal meridian 16,,,,,9:20 PM,tomorrow,london has fallen, movie purchasing service,,,,,,,,
688L,seattle,regal meridian 16,,,,,9:20 PM,tomorrow,london has fallen,name,,,,,,,,
689L,seattle,regal meridian 16,,,,,9:00 PM,tomorrow,spotlight,,,,,,,,,
690L,baltimore,cinemakr egyptian 24,,,,maryland,3:20pm,friday,zootopia,,,,,3d,,,,
691L,baltimore,cinemakr egyptian 24,,,,maryland,9:45pm,friday,zootopia,,,,,3d,,,,
692L,baltimore,cinemakr egyptian 24,,,,maryland,3:20pm,11-Mar,zootopia,,,,,3d,,,,
693L,baltimore,cinemakr egyptian 24,,,,maryland,9:45pm,11-Mar,zootopia,,,,,3d,,,,
694L,baltimore,cinemakr egyptian 24,,,,maryland,3:20pm,friday,gods of egypt,,,,,3d,,,,
695L,seattle,amc lowes oak tree 6,,,,,7:25 PM,tomorrow,spotlight,restaurant,,,,,,,,
696L,seattle,amc lowes oak tree 6,,,,,7:25 PM,tomorrow,spotlight,movie ticket buying service,,,,,,,,
697L,seattle,amc lowes oak tree 6,,,,,7:25 PM,tomorrow,spotlight,restaurant booking service,,,,,,,,
698L,los angeles,pacific theatres,,,,,8:05,tomorrow night,deadpool,,,,,,,,,
699L,los angeles,pacific theatres,,,,,8:05,tomorrow,deadpool,,,,,,,,,
700L,los angeles,pacific theatres,,,,,8:05,friday,deadpool,,,,,,,,,
701L,los angeles,pacific theater,,,,,8:05,tomorrow night,deadpool,,,,,,,,,
702L,los angeles,pacific theater,,,,,8:05,tomorrow,deadpool,,,,,,,,,
703L,,cinemar downey,90601,,,,early,tomorrow,the witch,early in the day,,,,,closest,,,
704L,,amc theaters puente hills,90601,,,,early,tomorrow,the witch,early in the day,,,,,closest,,,
705L,,cinemar downey,90601,,,,early,tomorrow,the witch,two,,,,,closest,,,
706L,,amc theaters puente hills,90601,,,,early,tomorrow,the witch,two,,,,,closest,,,
707L,,cinemar downey,90601,,,,10:35,tomorrow,the witch,early in the day,,,,,closest,,,
708L,johnstown,Richland Cinemas,,,,pennsylvania,between 8 and 9pm,tomorrow,deadpool,,,,,,,,,
709L,johnstown,richland cinemas,,,,pennsylvania,between 8 and 9pm,tomorrow,deadpool,,,,,,,,,
710L,johnstown,Richland Cinemas,,,,pennsylvania,7:20pm,tomorrow,deadpool,,,,,,,,,
711L,johnstown,richland cinemas,,,,pennsylvania,7:20pm,tomorrow,deadpool,,,,,,,,,
712L,johnstown,Richland Cinemas,,,,pennsylvania,9:50 PM,tomorrow,deadpool,,,,,,,,,
713L,portland,living room theaters,,,super great day,oregon,10:00 PM,friday evening,star wars,,,,century eastport 16,3d,,,,
714L,portland,century eastport 16,,,super great day,oregon,10:00 PM,friday evening,star wars,,,,century eastport 16,3d,,,,
715L,portland,living room theaters,,,super great day,oregon,10:00 PM,friday evening,star wars,,,,century eastport 16,standard,,,,
716L,portland,century eastport 16,,,super great day,oregon,10:00 PM,friday evening,star wars,,,,century eastport 16,standard,,,,
717L,portland,living room theaters,,,super great day,oregon,9:25,friday evening,star wars,,,,century eastport 16,3d,,,,
718L,seattle,...,98101,,,washington,matinee,7th,kung fu panda 3,,pg,,,,,,,
719L,bellevue,...,98101,,,washington,matinee,7th,kung fu panda 3,,pg,,,,,,,
720L,seattle,regal meridian 16,98101,,,washington,matinee,7th,kung fu panda 3,,pg,,,,,,,
721L,bellevue,regal meridian 16,98101,,,washington,matinee,7th,kung fu panda 3,,pg,,,,,,,
722L,seattle,bellevue lincoln square cinemas,98101,,,washington,matinee,7th,kung fu panda 3,,pg,,,,,,,
723L,seattle,amc pacific place 11 theater,,,,,9:30 PM,tomorrow,room,,,,,,,,,
724L,los angeles,regal la live stadium 14,,,,,from noon to 4pm,,the witch,,,,,,,,,
725L,los angeles,regal la live stadium 14,,,,,8:30pm,,the witch,,,,,,,,,
726L,los angeles,regal la live stadium 14,,,,,11:00pm,,the witch,,,,,,,,,
727L,los angeles,regal la live stadium 14,,,,,11pm,,the witch,,,,,,,,,
728L,,Imagine theater Shelby Township,,,,,afternoon,tomorrow,star wars,,,,,,,,,
729L,philadelphia,the pearl theatre,19101,,,pa,1:30pm,tomorrow,deadpool,,,,,,near you,,,
730L,philadelphia,the pearl theatre,19121,,,pa,1:30pm,tomorrow,deadpool,,,,,,near you,,,
731L,philadelphia,the pearl theatre,19101,,,pa,4:30pm,tomorrow,deadpool,,,,,,near you,,,
732L,philadelphia,the pearl theatre,19121,,,pa,4:30pm,tomorrow,deadpool,,,,,,near you,,,
733L,philadelphia,the pearl theatre,19101,,,pa,7:30pm,tomorrow,deadpool,,,,,,near you,,,
734L,seattle,regal meridian 16,98101,,comedy,washington,night,tomorrow,zootopia,,,,,,,,,
735L,seattle,regal meridian,98101,,comedy,washington,night,tomorrow,zootopia,,,,,,,,,
736L,seattle,regal meridian 16,98101,,comedies),washington,night,tomorrow,zootopia,,,,,,,,,
737L,seattle,regal meridian,98101,,comedies),washington,night,tomorrow,zootopia,,,,,,,,,
738L,seattle,regal meridian 16,98101,,comedy,wa,night,tomorrow,zootopia,,,,,,,,,
739L,northern san francisco,amc van ness 14,,,,,2:25pm,tomorrow afternoon,kung fu panda 3,,,,,3d,,,,
740L,northern san francisco,century 20 daly city,,,,,2:25pm,tomorrow afternoon,kung fu panda 3,,,,,3d,,,,
741L,northern san francisco,amc,,,,,2:25pm,tomorrow afternoon,kung fu panda 3,,,,,3d,,,,
742L,northern san francisco,amc van ness 14,,,,,2:25pm,tomorrow afternoon,kung fu panda 3,,,,,standard,,,,
743L,northern san francisco,century 20 daly city,,,,,2:25pm,tomorrow afternoon,kung fu panda 3,,,,,standard,,,,
744L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,3d,,,,
745L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,zootopia,safeco field,,,,,near my location,,,
746L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,zootopia,many,,,,,near my location,,,
747L,seattle,regal meridian 16,,number 1,comedies,washington,,tonight,zootopia,safeco field,,,,,near my location,,,
748L,seattle,regal meridian 16,,number 1,comedies,washington,,tonight,zootopia,many,,,,,near my location,,,
749L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,Whiskey Tango Foxtrot,safeco field,,,,,near my location,,,
750L,seattle,amc pacific place 11 theater,,,,,9:00 PM,tomorrow,deadpool,,,,,,,,,
751L,seattle,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
752L,st louis,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
753L,bellevue,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
754L,seattle,bellevue lincoln square cinemas,98004,4 5/5 stars,kid,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
755L,st louis,bellevue lincoln square cinemas,98004,4 5/5 stars,kid,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
756L,knoxville,carmike 10,,,,tn,evening around 7,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
757L,knoxville,please,,,,tn,evening around 7,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
758L,knoxville,carmike 10,,,,tn,7:30pm,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
759L,knoxville,please,,,,tn,7:30pm,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
760L,seattle,amc pacific place 11 theater,,,,,10:00 PM,tomorrow,race,,,,,,,,,
761L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,,amc theater,,,,,tina fey
762L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,,amc ahwatukee 24,,,,,tina fey
763L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,, amc mesa grand 24,,,,,tina fey
764L,,mesa grand,85249,good,romantic comedy,,night,friday,zootopia,,,,amc theater,,,,,tina fey
765L,,mesa grand,85249,good,romantic comedy,,night,friday,zootopia,,,,amc ahwatukee 24,,,,,tina fey
766L,seattle,regal meridian 16,98101,,drama,wa,the next,tonight,the big short,pizza restaurant,,,,,near safeco field,,,
767L,seattle,regal meridian 16,98101,,drama,wa,the next,tonight,the big short,pizza restaurant,,,,,in your area,,,
768L,seattle,regal meridian 16,98101,,drama,wa,8:45,tonight,the big short,pizza restaurant,,,,,near safeco field,,,
769L,seattle,regal meridian 16,98101,,drama,wa,8:45,tonight,the big short,pizza restaurant,,,,,in your area,,,
770L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
771L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near safeco field,,,
772L,seattle,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near safeco field,,,
773L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near,,,
774L,seattle,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near,,,
775L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,in your area,,,
776L,birmingham,carmike summit 16,,,,al,around 2pm,sunday,deadpool,,,,,,,,,
777L,birmingham,carmike summit 16,,,,al,2:05 PM,sunday,deadpool,,,,,,,,,
778L,,boyou vista la,,,,,night,weekend,deadpool,,,,,,,,,
779L,,boyou vista la,,,,,night,friday,deadpool,,,,,,,,,
780L,,boyou vista la,,,,,night,this weekend,deadpool,,,,,,,,,
781L,,boyou vista la,,,,,night,earlier day,deadpool,,,,,,,,,
782L,,boyou vista la,,,,,night,thursday,deadpool,,,,,,,,,
783L,miami,regal south beach,,,,,8pm,friday,brothers grimsby,,,,,,,,,
784L,miami,amc sunset place 24,,,,,8pm,friday,brothers grimsby,,,,,,,,,
785L,miami,regal south beach,,,,,7:40,friday,brothers grimsby,,,,,,,,,
786L,miami,amc sunset place 24,,,,,7:40,friday,brothers grimsby,,,,,,,,,
787L,miami,regal south beach,,,,,6:00,friday,brothers grimsby,,,,,,,,,
788L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,big short,,,,,,,,,
789L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,the big short,,,,,,,,,
790L,seattle,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
791L,st louis,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
792L,bellevue,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
793L,seattle,bellevue lincoln square cinemas,98004,4.5/5,kids,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
794L,st louis,bellevue lincoln square cinemas,98004,4.5/5,kids,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
795L,la,regency norwalk 8,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
796L,la,amc la 7,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
797L,la,amc la mirada,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
798L,la,amc la,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
799L,la,regency norwalk 8,,8%,horror,,7:40pm,saturday,the forest,rotten tomatoes,,,,,,,,
800L,st louis,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,subtitles,,,,,near here,,,
801L,sappington,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,subtitles,,,,,near here,,,
802L,st louis,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,english and chinese subtitles,,,,,near here,,,
803L,sappington,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,english and chinese subtitles,,,,,near here,,,
